Logged,processFilePath,processCmd,endpointHostName,parentCmd
2023-09-08 10:48:17,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1327,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
2023-09-08 10:46:25,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:44:27,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:42:32,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:40:34,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1176,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
2023-09-08 10:40:34,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1176,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
2023-09-08 10:40:29,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:38:42,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:37:42,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1327,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
2023-09-08 10:37:42,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1327,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
2023-09-08 10:37:26,C:\Windows\System32\svchost.exe,C:\windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain,MUM-LAP-1327,C:\windows\system32\services.exe
2023-09-08 10:37:25,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1327,"""C:\Program Files\Fortinet\FortiClient\scheduler.exe"""
2023-09-08 10:36:54,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:35:17,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:33:30,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:31:42,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:29:59,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
2023-09-08 10:28:07,C:\Program Files\Fortinet\FortiClient\FortiProxy.exe,FortiProxy.exe -s FC_{73EFB30F-1CAD-4a7a-AE2E-150282B6CE25}_000013 ,MUM-LAP-1422,
