Logged,dhost,src,peerHost,ruleName,act,app,deviceDirection,deviceMacAddress,hostName,potentialRisk,dst,remarks
2023-09-21 15:54:31,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,pay.sandbox.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: pay.sandbox.google.com""]"
2023-09-21 15:54:30,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,pay.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: pay.google.com""]"
2023-09-21 15:54:30,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,pay.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: pay.google.com""]"
2023-09-21 15:54:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:54:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:54:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:54:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:53:50,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:53:40,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:53:22,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,googlemail.l.google.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: googlemail.l.google.com""]"
2023-09-21 15:53:22,uk1-v-dc02.global.internal,"[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,googlemail.l.google.com,1,"[""10.102.82.213""]","[""IP address: 10.102.82.213"", ""Domain: googlemail.l.google.com""]"
