Logged,eventSubClass,pAttackPhase,tags,dhost,app,remarks,dpt,shost,hostName,tacticId
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.46,HTTP,"[""IP address: 10.102.104.46"", ""Port: 8090""]",8090,10.102.104.48,10.102.104.46,"[""TA0011""]"
13/09/2023 07:00,,,"[""MITRE.T1071"",""XSAE.F2061"",""MITRE.T1071.003""]",192.168.141.53,HTTP,"[""URL: http://scr-trn-ib-cb1.health.local:8091/pools/default/buckets""]",8091,192.168.113.12,scr-trn-ib-cb1.health.local,
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.38,HTTP,"[""IP address: 172.30.14.38"", ""Port: 8091""]",8091,172.30.14.45,couchbase,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.93,HTTP,"[""IP address: 172.30.2.93"", ""Port: 83""]",83,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.46,HTTP,"[""IP address: 10.102.104.46"", ""Port: 8090""]",8090,10.102.104.48,10.102.104.46,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.5.141.11,SSH,"[""IP address: 10.5.141.11"", ""Port: 6973""]",6973,10.5.141.10,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",192.168.141.53,HTTP,"[""IP address: 192.168.141.53"", ""Port: 8091""]",8091,192.168.113.12,scr-trn-ib-cb1.health.local,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",192.168.141.53,HTTP,"[""IP address: 192.168.141.53"", ""Port: 8091""]",8091,192.168.113.12,scr-trn-ib-cb1.health.local,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",192.168.141.53,HTTP,"[""IP address: 192.168.141.53"", ""Port: 8091""]",8091,192.168.113.12,scr-trn-ib-cb1.health.local,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.48,HTTP,"[""IP address: 10.102.104.48"", ""Port: 2380""]",2380,10.102.104.47,etcd2,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.14.38,HTTP,"[""IP address: 172.30.14.38"", ""Port: 8091""]",8091,172.30.14.45,couchbase,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.46,HTTP,"[""IP address: 10.102.104.46"", ""Port: 8090""]",8090,10.102.104.48,10.102.104.46,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.93,HTTP,"[""IP address: 172.30.2.93"", ""Port: 86""]",86,172.30.3.68,,"[""TA0011""]"
